分类\序号,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,
数组,0066 加一,0189 轮转数组,0238 除自身以外数组的乘积,0485 最大连续 1 的个数,0724 寻找数组的中心下标,,,,,,,,,,,,,,
排序,0056 合并区间,0088 合并两个有序数组,0136 只出现一次的数字,0179 最大数,0283 移动零,0384 打乱数组,,,,,,,,,,,,,
双指针,0011 盛最多水的容器,0015 三数之和,0016 最接近的三数之和,0075 颜色分类,0125 验证回文串,0443 压缩字符串,0611 有效三角形的个数,,,,,,,,,,,,
快慢指针,0026 删除有序数组中的重复项,0141 环形链表,0142 环形链表 II,0234 回文链表,0283 移动零,0415 字符串相加,,,,,,,,,,,,,
链表,0025 K 个一组翻转链表,0061 旋转链表,0082 删除排序链表中的重复元素II ,0083 删除排序链表中的重复元素,0092 反转链表 II,0138 随机链表的复制,0206 反转链表,0234 回文链表,0328 奇偶链表,反转链表教学,,,,,,,,,
滑动窗口,0003 无重复字符的最长子串,0076 最小覆盖子串,0209 长度最小的子数组,0239 滑动窗口最大值,0718 最长重复子数组,0862 和至少为 K 的最短子数组,1004 最大连续1的个数 III,,,,,,,,,,,,
栈堆队列,0020 有效的括号,0042 接雨水,0225 用队列实现栈,0232 用栈实现队列,0239 滑动窗口最大值,0347 前 K 个高频元素,0394 字符串解码,1047 删除字符串中的所有相邻重复项,,,,,,,,,,,
树,0100 相同的树,0101 对称二叉树,0104 二叉树的最大深度,0111 二叉树的最小深度,0112 路径总和,0222 完全二叉树的节点个数,0226 翻转二叉树,0236 二叉树的最近公共祖先,0257 二叉树的所有路径,0404 左叶子之和,0513 找树左下角的值,0559 N 叉树的最大深度 ,0617 合并二叉树,0654 最大二叉树,,,,,
简单题，给大家找找自信,0001 两数之和,0015 三数之和,0202 快乐数,0242 有效的字母异位词,0349 两个数组的交集,0383 赎金信,0454 四数相加 II,,,,,,,,,,,,
二叉搜索树,0098 验证二叉搜索树,0110 平衡二叉树,0230 二叉搜索树中第K小的元素,0450 删除二叉搜索树中的节点,,,,,,,,,,,,,,,
最优化问题,0130 被围绕的区域,0133 克隆图,0200 岛屿数量,0207 课程表,0210 课程表 II,0399 除法求值,,,,,,,,,,,,,
BFS,0542  01 矩阵,0934 最短的桥,0994 腐烂的橘子,1091 二进制矩阵中的最短路径,1210 穿过迷宫的最少移动次数,1293 网格中的最短路径,"2146 价格范围内最高排名的 K 样物品
",,,,,,,,,,,,
动态规划,0188 买卖股票的最佳时机 IV,0198 打家劫舍,0516 最长回文子序列,0674 最长连续递增序列,,,,,,,,,,,,,,,
买卖股票的最佳时机(煞笔题，纯恶心人),0121 买卖股票的最佳时机,0122 买卖股票的最佳时机 II,0123 买卖股票的最佳时机 III,0188 买卖股票的最佳时机 IV,,,,,,,,,,,,,,,
贪婪算法1,0134 加油站,0135 分发糖果,0376 摆动序列,0738 单调递增的数字,0763 划分字母区间,,,,,,,,,,,,,,
贪心算法2,0045 跳跃游戏 II,0053 最大子数组和,0055 跳跃游戏,0406 根据身高重建队列,0452 用最少数量的箭引爆气球,0860 柠檬水找零 ,1005 K 次取反后最大化的数组和,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
练习1,0021 合并两个有序链表,0023 合并 K 个升序链表,0092 反转链表 II,0143 重排链表,,,,,,,,,,,,,,,
